geoid,name,s5,s4,s3,s2,s1,t2015,t2014,t2013,t2012,t2011,t2010,t2009,t2008,t2007,t2006,t2005,t2004,t2003,t2002,total,male_pop
22001,Acadia Parish,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4,6364
51001,Accomack County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2789
16001,Ada County,0,1,3,18,0,0,1,0,2,1,0,1,1,2,2,1,4,4,3,22,41828
08001,Adams County,1,1,8,5,0,0,0,0,1,1,1,1,1,0,1,2,1,3,3,15,48874
17001,Adams County,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6357
28001,Adams County,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,3082
31001,Adams County,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3575
45003,Aiken County,0,4,5,8,0,2,1,1,2,0,0,1,0,0,2,1,1,3,3,17,15415
12001,Alachua County,0,3,12,10,0,1,1,3,1,2,3,3,1,0,3,1,3,1,2,25,42286
37001,Alamance County,1,0,4,2,0,0,2,1,0,0,0,0,0,1,0,1,1,0,1,7,14591
06001,Alameda County,0,22,39,54,0,5,4,6,3,9,6,3,4,8,13,8,13,20,13,115,162145
36001,Albany County,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,36603
28003,Alcorn County,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3262
37003,Alexander County,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3357
51510,Alexandria city,0,1,9,4,0,1,3,1,0,1,0,0,3,0,0,0,1,2,2,14,14459
19005,Allamakee County,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1272
26005,Allegan County,0,0,1,4,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,5,10017
24001,Allegany County,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9152
