name,stadium,city,state,conference,capacity,record,built,expanded,statefp,placefp,alt
Air Force,Falcon Stadium,Colorado Springs,CO,Mountain West,46692,56409,1962,,8,16000,
Akron,Summa Field at InfoCision Stadium,Akron,OH,MAC,30000,27881,2009,,39,1000,
Alabama,Bryant–Denny Stadium,Tuscaloosa,AL,SEC,101821,101821,1929,2010,1,77256,
Appalachian State,Kidd Brewer Stadium,Boone,NC,Sun Belt,24050,31531,1962,2009,37,7080,
Arizona,Arizona Stadium,Tucson,AZ,Pac-12,51811,59920,1928,1988,4,77000,
Arizona State,"Sun Devil Stadium, Frank Kush Field",Tempe,AZ,Pac-12,71706,74963,1958,1998,4,73000,
Arkansas,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,SEC,72000,76808,1938,2006,5,23290,
Arkansas State,Liberty Bank Stadium,Jonesboro,AR,Sun Belt,30964,31243,1974,2002,5,35710,
Army,Blaik Field at Michie Stadium,West Point,NY,Independent,38000,42765,1924,2001,36,80747,
Auburn,Jordan–Hare Stadium,Auburn,AL,SEC,87451,87451,1939,2004,1,3076,
Ball State,Scheumann Stadium,Muncie,IN,MAC,22500,23861,1967,2007,18,51876,
Baylor,Floyd Casey Stadium,Waco,TX,Big 12,50000,51385,1950,2002,48,76000,
Boise State,Bronco Stadium,Boise,ID,Mountain West,37000,36864,1970,2012,16,8830,
Boston College,Alumni Stadium,Chestnut Hill,MA,ACC,44500,44500,1957,1995,25,7000,
Bowling Green,Doyt Perry Stadium,Bowling Green,OH,MAC,23724,33527,1966,,39,7972,
Buffalo,UB Stadium,Amherst,NY,MAC,29013,29795,1993,,36,82084,
BYU,LaVell Edwards Stadium,Provo,UT,Independent,63725,66247,1964,1982,49,62470,Brigham Young
California,California Memorial Stadium,Berkeley,CA,Pac-12,62717,83000,1923,2012,6,6000,
Central Michigan,Kelly/Shorts Stadium,Mount Pleasant,MI,MAC,30199,30302,1972,1997,26,56020,
Charlotte,Jerry Richardson Stadium,Charlotte,NC,C-USA,15314,17444,2012,,37,12000,
Cincinnati,Nippert Stadium,Cincinnati,OH,American,35097,36007,1924,2005,39,15000,
Clemson,Memorial Stadium,Clemson,SC,ACC,81500,86092,1942,2006,45,14950,
Colorado,Folsom Field,Boulder,CO,Pac-12,53750,54972,1924,2003,8,7850,
Colorado State,Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Mountain West,34400,39107,1968,2006,8,27425,
Connecticut,Rentschler Field,East Hartford,CT,American,40000,40000,2003,,9,22700,
Duke,Wallace Wade Stadium,Durham,NC,ACC,33941,57500,1929,,37,19000,
East Carolina,Dowdy–Ficklen Stadium,Greenville,NC,C-USA,50000,50610,1963,2010,37,28080,
Eastern Michigan,Rynearson Stadium,Ypsilanti,MI,MAC,30200,26188,1969,1992,26,89140,
FIU,FIU Stadium,Miami,FL,C-USA,25000,22682,1995,2012,12,45000,Florida International
Florida,Ben Hill Griffin Stadium,Gainesville,FL,SEC,88548,90907,1930,2003,12,25175,
Florida Atlantic,FAU Stadium,Boca Raton,FL,C-USA,30000,29103,2011,,12,7300,
Florida State,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,ACC,82300,84392,1950,2003,12,70600,
Fresno State,Bulldog Stadium,Fresno,CA,Mountain West,41031,42881,1980,1992,6,27000,
Georgia,Sanford Stadium,Athens,GA,SEC,92746,92746,1929,2004,13,3440,
Georgia Southern,Paulson Stadium,Statesboro,GA,Sun Belt,25000,25725,1984,,13,73256,
Georgia State,Georgia Dome,Atlanta,GA,Sun Belt,71228,,1992,,13,4000,
Georgia Tech,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,ACC,55000,60316,1913,2003,13,4000,
Hawaii,Aloha Stadium,Honolulu,HI,Mountain West,50000,50000,1975,2003,15,71550,
Houston,Reliant Stadium,Houston,TX,American,71054,,2002,,48,35000,
Idaho,Kibbie Dome,Moscow,ID,Independent,16000,17600,1975,,16,54550,
Illinois,Memorial Stadium,Champaign,IL,Big Ten,60670,78297,1923,2011,17,12385,
Indiana,Memorial Stadium,Bloomington,IN,Big Ten,52959,56223,1960,2010,18,5860,
Iowa,Kinnick Stadium,Iowa City,IA,Big Ten,70585,70585,1929,2006,19,38595,
Iowa State,Jack Trice Stadium,Ames,IA,Big 12,55000,56800,1975,2008,19,1855,
Kansas,Memorial Stadium,Lawrence,KS,Big 12,50071,52530,1921,1999,20,38900,
Kansas State,Bill Snyder Family Football Stadium,Manhattan,KS,Big 12,50000,53811,1968,2005,20,44250,
Kent State,Dix Stadium,Kent,OH,MAC,25000,27363,1969,2008,39,39872,
Kentucky,Commonwealth Stadium,Lexington,KY,SEC,67606,71024,1973,1999,21,46027,
Louisiana Tech,Joe Aillet Stadium,Ruston,LA,C-USA,30600,28714,1968,1989,22,66655,
Louisiana-Lafayette,Cajun Field,Lafayette,LA,Sun Belt,31000,41357,1971,,22,40735,
Louisiana-Monroe,Malone Stadium,Monroe,LA,Sun Belt,30427,31175,1978,1993,22,51410,
Louisville,Papa John's Cardinal Stadium,Louisville,KY,American,56000,55386,1998,2010,21,48006,
LSU,Tiger Stadium,Baton Rouge,LA,SEC,92542,93374,1924,2006,22,5000,
Marshall,Joan C. Edwards Stadium,Huntington,WV,C-USA,38019,41382,1991,2000,54,39460,
Maryland,Byrd Stadium,College Park,MD,ACC,51802,58973,1950,2009,24,18750,
