gid,abbr,name,lat,lon
29154,AK,Goldstream,+64.9546969,-148.0052729
29195,AK,Meadow Lakes,+61.6382058,-149.6099370
29153,AK,Two Rivers,+64.8908446,-147.0898835
29085,AK,Hobart Bay,+57.4618217,-133.3156089
29094,AK,Glennallen,+62.1430516,-145.7857619
29090,AK,Chistochina,+62.5964435,-144.9410445
29089,AK,Chisana,+62.1104841,-142.0486415
29093,AK,Gakona,+62.3607818,-145.2656692
29092,AK,Copper Center,+61.9845493,-145.3543424
29091,AK,Chitina,+61.5519038,-144.1758485
29152,AK,Salcha,+64.5337807,-146.8842766
29101,AK,Paxson,+63.0488105,-145.6377662
29100,AK,Nelchina,+62.0098565,-146.8297120
29096,AK,Kenny Lake,+61.6271712,-144.8629762
29095,AK,Gulkana,+62.2151827,-145.4448865
29099,AK,Mentasta Lake,+63.0222062,-143.5073647
29098,AK,Mendeltna,+62.1466546,-146.7609345
29097,AK,McCarthy,+61.4539570,-142.8646930
29151,AK,Pleasant Valley,+64.8854337,-146.8986093
29150,AK,Moose Creek,+64.7163687,-147.1666273
29106,AK,Tolsona,+62.0686354,-146.1231161
29105,AK,Tazlina,+62.0535188,-145.4376249
29120,AK,Crown Point,+60.4266794,-149.3529803
29117,AK,Clam Gulch,+60.2054050,-151.4075276
29155,AK,Chena Ridge,+64.7990210,-148.0237789
29158,AK,South Van Horn,+64.8095017,-147.7878673
29109,AK,Nabesna,+62.4515707,-142.9345972
29108,AK,Willow Creek,+61.8633999,-145.1973068
29156,AK,Farmers Loop,+64.9082240,-147.6986608
29157,AK,Badger,+64.8000813,-147.3851292
29118,AK,Cohoe,+60.2669714,-151.2981721
29119,AK,Cooper Landing,+60.4962232,-149.8240725
29122,AK,College,+64.8700648,-147.8072215
29194,AK,Lazy Mountain,+61.6575359,-148.9285017
29121,AK,Diamond Ridge,+59.6963465,-151.5551997
29193,AK,Lakes,+61.6077616,-149.3052431
29126,AK,Halibut Cove,+59.5695806,-151.2237642
29243,AK,Chiniak,+57.5748183,-152.2834879
29183,AK,Butte,+61.5488829,-148.9832854
29124,AK,Fritz Creek,+59.7468194,-151.2887076
29161,AK,Venetie,+67.0206083,-146.3751552
29123,AK,Fox River,+59.8721575,-150.9580706
29125,AK,Funny River,+60.4844372,-150.7896576
29241,AK,Kodiak Station,+57.7679505,-152.5959068
29160,AK,Wiseman,+67.4814274,-150.1607236
29128,AK,Hope,+60.8861245,-149.6329912
29127,AK,Happy Valley,+59.9104435,-151.6081787
