position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
wr,"Foley, Alabama",Foley,78,215,4.5,5,6.1,1,Alabama,Julio Jones,2008
ol,"Dublin, Ohio",Coffman,0,308,5.3,5,6.1,1,Ohio State,Mike Adams,2008
db,"Pompano Beach, Florida",Blanche Ely,0,193,4.5,5,6.1,1,LSU,Patrick Johnson,2008
te,"Cincinnati, Ohio",Elder,78,229,4.6,5,6.1,1,Notre Dame,Kyle Rudolph,2008
rb,"Klein, Texas",Oak,65,165,4.4,4,6.0,1,Texas,DeSean Hales,2008
de,"Bamberg, South Carolina",Bamberg-Ehrhardt,78,267,4.6,5,6.1,1,Clemson,DaQuan Bowers,2008
rb,"Ventura, California",St. Bonaventure,78,204,4.4,5,6.1,1,Colorado,Darrell Scott,2008
rb,"Jacksonville, Florida",Trinity Christian,0,210,4.4,4,5.9,1,Clemson,Jamie Harper,2008
qb,"Jeannette, Pennsylvania",Jeannette,78,235,4.4,5,6.1,1,Ohio State,Terrelle Pryor,2008
ath,"Jersey City, New Jersey",St. Peter's Prep,78,203,4.4,5,6.1,1,Florida,Will Hill,2008
db,"Round Rock, Texas",McNeil,78,175,4.4,4,6.0,1,Texas,Aaron Williams,2008
de,"Keller, Texas",Fossil Ridge,78,245,4.6,5,6.1,1,Oklahoma,R.J. Washington,2008
dt,"Miami, Florida",Northwestern,78,286,5.0,5,6.1,1,Miami (FL),Marcus Forston,2008
lb,"Crawfordville, Florida",Wakulla,78,230,,5,6.1,1,Florida State,Nigel Bradham,2008
ol,"Omaha, Nebraska",Elkhorn,78,304,5.2,4,6.0,1,Notre Dame,Trevor Robinson,2008
ol,"Memphis, Tennessee",Evangelical Christian School,78,271,4.9,4,6.0,1,Alabama,Barrett Jones,2008
k,"Mansfield, Texas",Mansfield Summit,78,185,,3,5.5,1,Oklahoma State,Quinn Sharp,2008
qb,"Ballwin, Missouri",Parkway West,78,226,4.7,5,6.1,1,Missouri,Blaine Gabbert,2008
lb,"Miami, Florida",Dr. Krop,78,222,4.6,4,6.0,1,Ohio State,Etienne Sabino,2008
wr,"Summerville, South Carolina",Summerville,0,184,4.5,5,6.1,2,Georgia,A.J. Green,2008
lb,"Wichita, Kansas",Wichita East,78,210,4.4,5,6.1,2,Miami (FL),Arthur Brown,2008
db,"Melbourne, Florida",Palm Bay,78,181,4.6,4,6.0,2,Miami (FL),Ramon Buchanan,2008
dt,"Buford, Georgia",Buford,78,295,4.7,5,6.1,2,Florida,Omar Hunter,2008
ol,"Hemet, California",Hemet,78,290,5.5,4,5.9,2,Oregon,Hamani Stevens,2008
rb,"Corona, California",Centennial,65,186,4.4,4,5.9,2,Arizona State,Ryan Bass,2008
te,"Orange, California",Lutheran,78,245,4.7,4,6.0,2,USC,Blake Ayles,2008
qb,"Sherman Oaks, California",Notre Dame,78,228,4.7,5,6.1,2,Notre Dame,Dayne Crist,2008
lb,"Salt Lake City, Utah",Cottonwood Senior,78,220,4.6,4,6.0,2,Colorado,Lynn Katoa,2008
qb,"Virginia Beach, Virginia",Bayside,78,215,4.6,4,6.0,2,Florida State,E.J. Manuel,2008
de,"Portland, Oregon",Lincoln,78,266,4.8,4,6.0,2,Notre Dame,Ethan Johnson,2008
ol,"Louisville, Georgia",Jefferson County,78,308,5.9,4,6.0,2,Georgia,A.J. Harmon,2008
ath,"Cartersville, Georgia",Cass,78,197,4.5,5,6.1,2,Georgia,Richard Samuel,2008
ol,"Lincoln, Nebraska",Lincoln Southwest,78,290,4.9,5,6.1,2,Nebraska,Baker Steinkuhler,2008
