position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
qb,"Hueytown, Alabama",Hueytown,78,200,,5,6.1,1,Florida State,Jameis Winston,2012
dt,"Denton, Texas",Ryan,78,275,4.8,5,6.1,1,Florida State,Mario Edwards,2012
de,"Harrisburg, Pennsylvania",Bishop McDevitt,78,245,,5,6.1,1,Ohio State,Noah Spence,2012
wr,"Springfield, Missouri",Hillcrest,78,220,4.4,5,6.1,1,Missouri,Dorial Green-Beckham,2012
rb,"Aledo, Texas",Aledo,65,190,4.4,5,6.1,1,Texas,Johnathan Gray,2012
rb,"Miami, Florida",Miami Norland,65,180,4.5,5,6.1,1,Miami (FL),Randy Johnson,2012
db,"Miramar, Florida",Miramar,65,175,,5,6.1,1,Miami (FL),Tracy Howard,2012
rb,"Mission Viejo, California",Mission Viejo,78,225,,3,5.7,1,USC,Jahleel Pinner,2012
lb,"Downey, California",Downey,78,230,4.6,4,6.0,1,USC,Jabari Ruffin,2012
ol,"Encino, California",Crespi,78,333,4.9,5,6.1,1,USC,Jordan Simmons,2012
db,"Sacramento, California",Grant,78,210,4.6,5,6.1,1,Washington,Shaq Thompson,2012
ol,"Missouri City, Texas",Elkins,78,260,,4,5.8,1,Texas A&M,Mike Matthews,2012
de,"Shelby, North Carolina",Crest,78,255,,5,6.1,1,Florida,Jonathan Bullard,2012
ol,"Charlotte, North Carolina",Mallard Creek,78,265,4.9,5,6.1,1,Florida,D.J. Humphries,2012
k,"Cuyahoga Falls, Ohio",Walsh Jesuit,65,185,,3,5.5,1,Duke,Ross Martin,2012
te,"Land O'Lakes, Florida",Land O' Lakes,78,220,,4,6.0,1,Florida,Kent Taylor,2012
ath,"Panama City, Florida",Arnold,78,204,,5,6.1,1,Alabama,Eddie Williams,2012
lb,"Madison, Alabama",Bob Jones,78,245,,4,6.0,1,Alabama,Reggie Ragland,2012
qb,"Columbus, Indiana",East,78,220,,5,6.1,1,Notre Dame,Gunner Kiel,2012
dt,"Washington, District of Columbia",Friendship Collegiate Academy,0,307,,5,6.1,2,Florida State,Eddie Goldman,2012
db,"Oxon Hill, Maryland",Potomac,65,172,4.4,4,5.9,2,Florida State,Ronald Darby,2012
wr,"Olney, Maryland",Good Counsel,78,185,4.4,5,6.1,2,Maryland,Stefon Diggs,2012
de,"Cincinnati, Ohio",Taft,78,230,,5,6.1,2,Ohio State,Adolphus Washington,2012
ath,"Valdosta, Georgia",Lowndes,78,208,,5,6.1,2,Georgia,Josh Harvey-Clemons,2012
qb,"Denver, Colorado",Mullen,78,220,4.4,4,6.0,2,Washington,Cyler Miles,2012
ol,"Lakewood, Washington",Lakes,78,310,4.9,5,6.1,2,USC,Zach Banner,2012
de,"Ramsey, New Jersey",Don Bosco Prep,78,245,,5,6.1,2,Rutgers,Darius Hamilton,2012
db,"Geismar, Louisiana",Dutchtown,78,199,4.4,5,6.1,2,Alabama,Landon Collins,2012
lb,"Stone Mountain, Georgia",Stone Mountain,78,210,,4,6.0,2,Florida State,Ukeme Eligwe,2012
ol,"Apopka, Florida",Apopka,78,275,5.1,4,5.8,2,Oklahoma,Ty Darlington,2012
te,"Hogansville, Georgia",Callaway,78,230,,4,5.8,2,Auburn,Ricky Parks,2012
rb,"Daphne, Alabama",Daphne,78,205,4.4,5,6.1,2,Alabama,T.J. Yeldon,2012
rb,"Raleigh, North Carolina",Millbrook,65,190,4.4,4,6.0,2,Georgia,Keith Marshall,2012
k,"Calhoun, Georgia",Calhoun,65,175,,3,5.5,2,Alabama,Adam Griffith,2012
ol,"Puyallup, Washington",Puyallup,78,295,,4,6.0,2,Stanford,Joshua Garnett,2012
lb,"Charlotte, North Carolina",Phillip O Berry Acad Of Tech,78,228,,4,5.9,2,Louisville,Nick Dawson,2012
rb,"Blackshear, Georgia",Pierce County,78,245,,3,5.7,2,Georgia,Quayvon Hicks,2012
qb,"Danville, California",San Ramon Valley,78,210,4.9,4,6.0,2,California,Zach Kline,2012
rb,"Chesapeake, Virginia",Oscar Smith,65,169,4.4,4,5.9,3,Virginia Tech,J.C. Coleman,2012
qb,"Houston, Texas",Klein Forest,78,202,4.4,4,5.8,3,Texas A&M,Matt Davis,2012
de,"Atwater, California",Buhach,78,275,5.2,5,6.1,3,Stanford,Aziz Shittu,2012
ol,"San Clemente, California",San Clemente,78,275,5.1,5,6.1,3,Stanford,Kyle Murphy,2012
wr,"Tampa, Florida",Berkeley Prep,78,180,,5,6.1,3,USC,Nelson Agholor,2012
ath,"Old Tappan, New Jersey",Old Tappan,78,185,,4,6.0,3,UCLA,Devin Fuller,2012
qb,"Eagle, Idaho",Eagle,78,195,4.9,4,6.0,3,Brigham Young,Tanner Mangum,2012
dt,"Kansas City, Missouri",Park Hill,78,325,5.2,5,6.1,3,Michigan,Ondre Pipkins,2012
ol,"Atwater, California",Buhach,78,340,,3,5.7,3,California,Matt Cochran,2012
de,"St. Petersburg, Florida",Lakewood,78,232,,5,6.1,3,Florida,Dante Fowler Jr.,2012
db,"Ashburn, Virginia",Briar Woods,78,193,4.4,4,6.0,3,Stanford,Alex Carter,2012
lb,"Wisconsin Rapids, Wisconsin",Wisconsin Rapids Lincoln,78,210,4.6,4,5.9,3,Wisconsin,Vince Biegel,2012
db,"Mesquite, Texas",Horn,65,160,4.4,4,5.9,3,Texas A&M,DeVante Harris,2012
te,"Lyndhurst, Ohio",Brush,78,220,,4,5.8,3,Oregon,Pharaoh Brown,2012
rb,"Spring, Texas",Dekaney,65,175,4.4,5,6.1,3,Texas A&M,Trey Williams,2012
k,"Groveland, Florida",South Lake,78,183,,3,5.5,3,Florida State,Roberto Aguayo,2012
lb,"Norfolk, Virginia",Norfolk Christian School,78,243,4.8,4,5.9,3,Virginia,Kwontie Moore,2012
rb,"Decatur, Georgia",Columbia,65,234,4.7,3,5.6,3,Mississippi,Kenno Loyal,2012
ol,"Corvallis, Oregon",Corvallis,78,280,,4,6.0,3,Oregon State,Isaac Seumalo,2012
db,"Fresno, California",Washington Union,78,180,,4,5.9,4,Notre Dame,Tee Shepard,2012
de,"Aberdeen, Mississippi",Aberdeen,78,250,,4,6.0,4,Mississippi,Channing Ward,2012
wr,"Dallas, Texas",Skyline,78,180,4.4,4,6.0,4,Texas A&M,Thomas Johnson,2012
ol,"DeSoto, Texas",DeSoto,78,283,,4,5.9,4,Texas,Curtis Riser,2012
te,"Rocklin, California",Whitney,78,250,4.9,4,5.8,4,USC,Jalen Cope-Fitzpatrick,2012
dt,"Monrovia, California",Monrovia,78,311,4.9,5,6.1,4,UCLA,Ellis McCarthy,2012
ol,"Lakewood, Ohio",St. Edward,78,302,,5,6.1,4,Michigan,Kyle Kalis,2012
ol,"Bellflower, California",St. John Bosco,78,285,,3,5.6,4,Arizona,Beau Boyster,2012
de,"Mobile, Alabama",Davidson,78,225,,4,6.0,4,Florida State,Chris Casher,2012
ath,"Athens, Texas",Athens,78,175,4.4,4,6.0,4,Texas,Kendall Sanders,2012
qb,"Buffalo, New York",St. Joseph's,78,208,4.6,4,5.8,4,Clemson,Chad Kelly,2012
qb,"Cleveland, Tennessee",Cleveland,78,183,4.6,4,5.9,4,Pittsburgh,Chad Voytik,2012
k,"Concord, North Carolina",Northwest Cabarrus,78,220,,3,5.5,4,Clemson,Bradley Pinion,2012
db,"Tallahassee, Florida",North Florida Christian,78,195,4.4,4,6.0,4,Clemson,Travis Blanks,2012
rb,"Memphis, Tennessee",Memphis East,65,165,,4,5.8,4,Vanderbilt,Brian Kimbrow,2012
lb,"Buford, Georgia",Buford,78,220,,4,5.9,4,Alabama,Dillon Lee,2012
lb,"Leesburg, Florida",Leesburg,78,233,,4,5.9,4,Stanford,Noor Davis,2012
rb,"Highlands Ranch, Colorado",Mountain Vista,78,240,4.8,3,5.6,4,Colorado,Clay Norgard,2012
rb,"Cape Coral, Florida",Island Coast,78,185,,4,6.0,4,Florida State,Mario Pender,2012
rb,"Tarboro, North Carolina",Tarboro,78,195,,4,6.0,5,Georgia,Todd Gurley,2012
qb,"Petal, Mississippi",Petal,78,205,4.5,4,5.8,5,Southern Miss,Anthony Alford,2012
dt,"Brenham, Texas",Brenham,78,280,,5,6.1,5,Texas,Malcom Brown,2012
wr,"Austin, Texas",Austin,78,198,4.6,4,6.0,5,Texas,Cayleb Jones,2012
te,"Citra, Florida",North Marion,78,232,4.9,4,5.8,5,South Florida,Sean Price,2012
de,"Daytona Beach, Florida",Mainland,78,254,,4,6.0,5,USC,Leonard Williams,2012
lb,"Stone Mountain, Georgia",Stephenson,78,208,,4,5.9,5,Miami (FL),Raphael Kirby,2012
ath,"Scottsdale, Arizona",Saguaro,65,190,,4,5.9,5,Arizona State,D.J. Foster,2012
rb,"Detroit, Michigan",Martin Luther King,65,170,,4,5.8,5,Michigan,Dennis Norfleet,2012
rb,"Salt Lake City, Utah",Highland,78,211,4.5,3,5.5,5,Michigan,Sione Houma,2012
qb,"Rocklin, California",Whitney,78,210,,4,5.8,5,Oregon,Jake Rodrigues,2012
de,"Virginia Beach, Virginia",Ocean Lakes,78,215,4.6,4,6.0,5,Virginia,Eli Harold,2012
db,"Bradenton, Florida",Southeast,65,187,,4,5.9,5,Florida,Brian Poole,2012
ol,"Boynton Beach, Florida",Boynton Beach,78,315,,4,5.9,5,Florida,Jessamen Dunker,2012
db,"Melbourne, Florida",Holy Trinity,78,195,4.5,4,5.9,5,Florida,Marcus Maye,2012
ol,"Jacksonville, Florida",Bolles,78,292,5.2,5,6.1,5,Georgia,John Theus,2012
lb,"Bastrop, Louisiana",Bastrop,78,236,4.6,4,5.8,5,Alabama,Denzel Devall,2012
k,"Charlotte, North Carolina",Latin,78,195,,3,5.5,5,Purdue,Paul Griggs,2012
ol,"Altair, Texas",Rice Consolidated,78,268,5.0,3,5.6,5,Texas Tech,Jared Kaster,2012
ol,"Tempe, Arizona",Corona Del Sol,78,305,5.2,5,6.1,6,Stanford,Andrus Peat,2012
dt,"Glen Ellyn, Illinois",Glenbard West,78,301,,4,5.9,6,Ohio State,Tommy Schutt,2012
db,"Miami, Florida",Columbus,78,185,4.4,4,5.9,6,Miami (FL),Deon Bush,2012
db,"Pasadena, California",Muir,78,180,,4,5.9,6,USC,Kevon Seymour,2012
ath,"Baltimore, Maryland",Gilman School,65,183,4.5,4,5.9,6,Alabama,Cyrus Jones,2012
de,"Elk Grove, California",Pleasant Grove,78,280,5.1,4,6.0,6,Oregon,Arik Armstead,2012
rb,"Las Vegas, Nevada",Bishop Gorman,65,195,4.6,4,5.8,6,Duke,Shaquille Powell,2012
k,"Spring Branch, Texas",Smithson Valley,78,220,4.7,3,5.5,6,TCU,Ethan Perry,2012
