position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year,place_gid,statefp,lat,lon
wr,"Crete, Illinois",Crete Monee,78,198,4.5,5,6.1,1,Mississippi,Laquon Treadwell,2013,11849,17,-87.6505016913516,41.4415348784018
rb,"Richmond, Virginia",Hermitage,78,220,4.4,5,6.1,1,Michigan,Derrick Green,2013,27944,51,-77.4848621158263,37.5097780171422
db,"Murrieta, California",Vista Murrieta,78,205,,5,6.1,1,USC,Su'a Cravens,2013,486,06,-117.19053056876,33.5395228922292
db,"Tampa, Florida",Wharton,65,185,,5,6.1,1,Florida,Vernon Hargreaves III,2013,8009,12,-82.5023227802779,27.8864935828502
lb,"Auburn, Alabama",Auburn,78,244,,5,6.1,1,Alabama,Reuben Foster,2013,3112,01,-85.5122572421775,32.5406903505209
lb,"Fort Wayne, Indiana",Bishop Luers,78,212,4.6,5,6.1,1,Notre Dame,Jaylon Smith,2013,12266,18,-85.1280692377895,41.1043904392562
rb,"Virginia Beach, Virginia",Bayside,65,183,4.6,5,6.1,1,Virginia,Taquan Mizzell,2013,28035,51,-75.9699220573406,36.7485542304794
te,"Autauga, Alabama",Autauga Academy,78,235,4.5,5,6.1,1,Alabama,O.J. Howard,2013,3181,01,-86.6358053525254,32.4226626564825
ol,"Lake City, Florida",Columbia,78,295,,5,6.1,1,Mississippi,Laremy Tunsil,2013,8092,12,-82.6753464393255,30.1568767005597
qb,"Sammamish, Washington",Skyline,78,215,,5,6.1,1,USC,Max Browne,2013,2637,53,-122.068007016463,47.5790553027148
dt,"Elkton, Maryland",Eastern Christian Academy,78,295,,5,6.1,1,USC,Kenny Bigelow,2013,21969,24,-75.8258597813353,39.5841843606175
de,"Alpharetta, Georgia",Milton,78,253,4.7,5,6.1,1,Auburn,Carl Lawson,2013,8656,13,-84.2082329053953,34.0770642840147
de,"Loganville, Georgia",Grayson,78,260,,5,6.1,1,Mississippi,Robert Nkemdiche,2013,8678,13,-83.9151127130668,33.8368487478225
ath,"Middletown, Ohio",Middletown,65,196,4.7,4,6.0,1,Ohio State,Jalin Marshall,2013,18840,39,-84.3668727949205,39.4839620565517
qb,"Harbor City, California",Narbonne,78,173,,4,6.0,1,Washington,Troy Williams,2013,546,06,-118.526063989448,34.2198786616665
ol,"Killeen, Texas",Harker Heights,78,319,,4,6.0,1,Texas,Darius James,2013,6161,48,-97.7433522600946,31.1141867833855
rb,"Staten Island, New York",Tottenville,78,222,4.5,3,5.6,1,Miami (FL),Augustus Edwards,2013,23635,36,-74.081588206811,40.5902785428172
ol,"Elkton, Maryland",Eastern Christian Academy,78,300,,4,6.0,1,USC,Khaliel Rodgers,2013,21969,24,-75.836140980445,39.6196265247137
k,"Toledo, Ohio",Ottawa Hills,65,180,,3,5.5,1,Michigan State,Michael Geiger,2013,19044,39,-83.636885216596,41.6577279511203
db,"Seffner, Florida",Armwood,78,185,4.6,5,6.1,2,USC,Leon McQuay III,2013,8395,12,-82.261409618752,27.9905871427886
