stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt,name,lon,lat,nickname,first_played,joined_fbs,pop_est_2013,seats_per_100
Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,87451,87451,1939,2004,3112,01,03076,,Auburn,-85.48913199474062,32.60222563439733,Tigers,1891,,58582,149.3
Legion Field,Birmingham,AL,UAB,C-USA,71594,44669,1926,1991,3483,01,07000,,Birmingham,-86.84263782787389,33.511491983223635,Blazers,1991,1996,212113,33.8
Ladd Peebles Stadium,Mobile,AL,South Alabama,Sun Belt,40646,26783,1948,2009,3074,01,50000,,Mobile,-88.07560041923283,30.67306326889053,Jaguars,2009,2012,194899,20.9
Veterans Memorial Stadium,Troy,AL,Troy,Sun Belt,30000,26574,1950,2003,3516,01,76920,,Troy,-85.95185,31.799597,Trojans,1909,2002,18919,158.6
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821,101821,1929,2010,3479,01,77256,,Tuscaloosa,-87.5504570015201,33.20765472082675,Crimson Tide,1892,,95334,106.8
Sun Devil Stadium,Tempe,AZ,Arizona State,Pac-12,71706,74963,1958,1998,29372,04,73000,,Tempe,-111.93258917016863,33.42643335899369,Sun Devils,1896,,168228,42.6
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,51811,59920,1928,1988,3663,04,77000,,Tucson,-110.9479692,32.2285484,Wildcats,1899,,526116,9.8
Donald W. Reynolds Razorback Stadium,Fayetteville,AR,Arkansas,SEC,72000,76808,1938,2006,9894,05,23290,,Fayetteville,-94.179055,36.068168,Razorbacks,1894,,78960,91.2
Liberty Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,31243,1974,2002,9971,05,35710,,Jonesboro,-90.66718201150054,35.84891959893929,Red Wolves,1911,1992,71551,43.3
California Memorial Stadium,Berkeley,CA,California,Pac-12,62717,83000,1923,2012,225,06,06000,,Berkeley,-122.25077220094663,37.87099859531797,Golden Bears,1882,,116768,53.7
Bulldog Stadium,Fresno,CA,Fresno State,Mountain West,41031,42881,1980,1992,420,06,27000,,Fresno,-119.75807586922897,36.81440585456859,Bulldogs,1921,,509924,8.0
Los Angeles Memorial Coliseum,Los Angeles,CA,USC,Pac-12,93607,105236,1923,2008,546,06,44000,USC,Los Angeles,-118.2882346,34.0138751,Trojans,1888,,3884307,2.4
Rose Bowl,Pasadena,CA,UCLA,Pac-12,92542,106869,1922,1949,558,06,56000,,Pasadena,-118.16762863568013,34.161351594523765,Bruins,1919,,139731,66.2
Qualcomm Stadium,San Diego,CA,San Diego State,Mountain West,70561,68537,1967,1997,327,06,66000,,San Diego,-117.1195704,32.7831775,Aztecs,1921,,1355896,5.2
Spartan Stadium,San Jose,CA,San Jose State,Mountain West,30456,31681,1933,1985,412,06,68000,,San Jose,-121.86825990279183,37.31971300348958,Spartans,1892,,998537,3.1
Stanford Stadium,Stanford,CA,Stanford,Pac-12,50000,51607,1921,2006,1429,06,55282,,Stanford,-122.16108450457156,37.434503461760386,Cardinal,1891,,66642,75.0
Folsom Field,Boulder,CO,Colorado,Pac-12,53750,54972,1924,2003,10163,08,07850,,Boulder,-105.26691079418279,40.009432801200234,Buffaloes,1890,,103166,52.1
Falcon Stadium,Colorado Springs,CO,Air Force,Mountain West,46692,56409,1962,,10211,08,16000,,Colorado Springs,-104.84351823614423,38.99706873909676,Falcons,1955,,439886,10.6
Sonny Lubick Field at Hughes Stadium,Fort Collins,CO,Colorado State,Mountain West,34400,39107,1968,2006,10192,08,27425,,Fort Collins,-105.1416121957115,40.56210746006505,Rams,1890,,152061,22.6
Rentschler Field,East Hartford,CT,Connecticut,American,40000,40000,2003,,21463,09,22630,,East Hartford,-72.61883225703714,41.7596234102881,Huskies,1896,2000,51199,78.1
FAU Stadium,Boca Raton,FL,Florida Atlantic,C-USA,30000,29103,2011,,7823,12,07300,,Boca Raton,-80.10160639616103,26.37613748242562,Owls,2001,2006,89407,33.6
Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,88548,90907,1930,2003,7934,12,25175,,Gainesville,-82.3492136,29.6502505,Gators,1906,,127488,69.5
