stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt,name,lat,lon
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Independent,30343,32993,1978,2005,5245,35,39380,"",Las Cruces,-106.789465591451,32.3266387938946
Alamodome,San Antonio,TX,UTSA,C-USA,65000,56743,1993,,6187,48,65000,Texas-San Antonio,San Antonio,-98.524676348632,29.4721475314174
Aloha Stadium,Honolulu,HI,Hawaii,Mountain West,50000,50000,1975,2003,1781,15,71550,"",Urban Honolulu,-157.844003403402,21.3302641500588
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,44500,1957,1995,22387,25,7000,"",Boston,-71.0904719626893,42.3157888477487
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,50307,1929,2012,6595,48,27000,"",Fort Worth,-97.3468916971708,32.7805501449469
Apogee Stadium,Denton,TX,North Texas,C-USA,30850,28075,2011,,6948,48,19972,"",Denton,-97.1412438691852,33.2156160402052
Arizona Stadium,Tucson,AZ,Arizona,Pac-12,51811,59920,1928,1988,3663,4,77000,"",Tucson,-110.87708548442,32.1567244523657
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,60055,1967,2002,2185,41,23850,"",Eugene,-123.117366753735,44.0559703093571
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,37623,1968,2007,24929,37,75000,"",Winston-Salem,-80.260988927121,36.1029453054196
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,110753,1960,2001,26898,42,73808,"",State College,-77.8568211735629,40.7909918649003
Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,88548,90907,1930,2003,7934,12,25175,"",Gainesville,-82.3453077272443,29.6816939341104
Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,50000,53811,1968,2005,13948,20,44250,"",Manhattan,-96.6045171884519,39.1877571519831
Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,ACC,82300,84392,1950,2003,7899,12,70600,"",Tallahassee,-84.2526459677303,30.4548951180028
Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,55000,60316,1913,2003,8767,13,4000,"",Atlanta,-84.4231414869435,33.7626526494827
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,59061,1920,2005,19283,40,70300,"",Stillwater,-97.0739594389085,36.1315382034484
Brigham Field at Huskie Stadium,DeKalb,IL,NIU,MAC,25500,28221,1965,1995,10656,17,19161,Northern Illinois,DeKalb,-88.7481478476048,41.9301736387603
Bright House Networks Stadium,Orlando,FL,UCF,American,45323,48453,2007,,7774,12,53000,"",Orlando,-81.3448146556225,28.4800312625226
Bronco Stadium,Boise,ID,Boise State,Mountain West,37000,36864,1970,2012,1915,16,8830,"",Boise City,-116.230885189584,43.5984343862518
Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,101821,101821,1929,2010,3479,1,77256,"",Tuscaloosa,-87.526799656718,33.2336192079734
Bulldog Stadium,Fresno,CA,Fresno State,Mountain West,41031,42881,1980,1992,420,6,27000,"",Fresno,-119.794083930062,36.7826271569794
Byrd Stadium,College Park,MD,Maryland,ACC,51802,58973,1950,2009,21846,24,18750,"",College Park,-76.9336302241938,38.9963216460848
Cajun Field,Lafayette,LA,Louisiana-Lafayette,Sun Belt,31000,41357,1971,,4650,22,40735,"",Lafayette,-92.0317532355585,30.2120582809613
California Memorial Stadium,Berkeley,CA,California,Pac-12,62717,83000,1923,2012,225,6,6000,"",Berkeley,-122.274974277039,37.8725634731406
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,80321,83184,1917,2005,20720,55,48000,"",Madison,-89.3914852777932,43.0810359459654
Carrier Dome,Syracuse,NY,Syracuse,ACC,49250,50564,1980,,23688,36,73000,"",Syracuse,-76.1437679218811,43.0409202090771
Carter–Finley Stadium,Raleigh,NC,NC State,ACC,57583,57583,1966,2006,24661,37,55000,North Carolina State,Raleigh,-78.6442274566584,35.8321688262231
Commonwealth Stadium,Lexington,KY,Kentucky,SEC,67606,71024,1973,1999,14400,21,46027,"",Lexington-Fayette,-84.4587259600916,38.0423254012198
Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,100119,101851,1924,2009,6703,48,5000,"",Austin,-97.7554771217585,30.3068610389613
Davis Wade Stadium,Starkville,MS,Mississippi State,SEC,55082,58103,1914,2002,5132,28,70240,"",Starkville,-88.8297412259839,33.46083149375
Dix Stadium,Kent,OH,Kent State,MAC,25000,27363,1969,2008,25320,39,39872,"",Kent,-81.361011380598,41.1490459003015
